n,macro_f1,balanced_accuracy,accuracy,macro_average_precision,false_alarm_rate,absent_test_classes,source,target,task,seed,model,train_seconds,inference_seconds
80000,0.5840360896023085,0.7342378454098922,0.9881625,0.6451227323364973,0.005365483343841274,[],unsw,unsw,multiclass,7,RandomForest,8.324924600000031,0.5788700000000517
80000,0.3418715186539324,0.6439660772981332,0.8932375,0.39135293866597937,0.09826425970483409,[],unsw,unsw,multiclass,7,ShallowMLP,22.61923630000001,0.18874690000006922
80000,0.5610222896157527,0.6845188761828174,0.98865,0.6588872314536676,0.005018077947477451,[],unsw,unsw,multiclass,7,SoftVoting,71.89218820000019,1.826781500000152
80000,0.5333499165774885,0.5204604573642695,0.9919625,0.6667540802202467,0.001698426382223137,[],unsw,unsw,multiclass,7,XGBoost,61.85352080000007,1.3398733999999877
80000,0.4909748772035993,0.5780485476763884,0.9823375,0.448577761501021,0.00568853331947998,[],unsw,unsw,multiclass,42,DecisionTree,0.6758500000000254,0.08138959999996587
80000,0.4538108090059597,0.6833382791561415,0.9777125,0.473324960633491,0.009519851422782706,[],unsw,unsw,multiclass,42,DeepMLP,53.974197000000004,0.15990320000003067
80000,0.40606291799986405,0.6147333852095991,0.9740375,0.4508212708932494,0.011649804537839136,[],unsw,unsw,multiclass,42,FeatureCNN,38.06541940000005,0.4557368000000679
80000,0.5425197516733927,0.6267986797589271,0.9847125,0.5461900129002942,0.005896333623387924,[],unsw,unsw,multiclass,42,RandomForest,3.921549099999993,0.3261757000000216
80000,0.42917291250093115,0.6192710249504362,0.9760875,0.4471137974865087,0.009987402106575581,[],unsw,unsw,multiclass,42,ShallowMLP,9.296290999999997,0.11421109999997725
80000,0.5408941974847409,0.5966517914062368,0.9855875,0.567009728369468,0.00535085782562957,[],unsw,unsw,multiclass,42,SoftVoting,39.198473000000035,1.1960044000000494
80000,0.5090122615196855,0.4839465067852678,0.988175,0.5903750131072129,0.0024286660519241008,[],unsw,unsw,multiclass,42,XGBoost,34.60107390000002,0.8392875999999774
80000,0.5778370438893461,0.6717953057615476,0.9843,0.5286458180588676,0.005285107275874731,[],unsw,unsw,multiclass,1337,DecisionTree,1.2666997000001174,0.138052400000106
80000,0.3897185460916971,0.6011990519556797,0.9657625,0.5026013282886328,0.008616167444788334,[],unsw,unsw,multiclass,1337,DeepMLP,67.51613270000007,0.25977999999986423
80000,0.4064172184032871,0.5747122265201331,0.963025,0.4455310419019026,0.009993180506740806,[],unsw,unsw,multiclass,1337,FeatureCNN,44.228705499999705,0.6600908000000345
80000,0.5136727995807111,0.6366861120943204,0.9734125,0.6108700612961024,0.004616272360069244,[],unsw,unsw,multiclass,1337,RandomForest,7.863632600000074,0.5205074999998942
80000,0.388384172116916,0.603503518339698,0.963475,0.4895806399882298,0.01017678224833447,[],unsw,unsw,multiclass,1337,ShallowMLP,12.948995899999773,0.13598310000043057
80000,0.5118500790262609,0.5884779964000042,0.9739125,0.6353651420260227,0.003986780674605256,[],unsw,unsw,multiclass,1337,SoftVoting,57.052835000000414,1.8604732999997395
